date,state,district,total_enrolments,total_demo_updates,total_bio_updates,total_updates,update_to_enrolment_ratio,biometric_stress_index,demographic_volatility_index,aadhaar_fragility_index,fragility_category
2025-08-12,Chhattisgarh,Sukma,0.0,306.0,267.0,573.0,,11.132758111211382,0.3704516441029558,3.4324403443891534,Low
2025-09-11,Madhya Pradesh,Niwari,1.0,4.0,15.0,19.0,1900.0,13.805260622915348,0.0551817759227373,4.206192075275959,Low
2025-06-11,Karnataka,Kolar,66.0,332.0,264.0,596.0,903.0303030303032,13.400865944887164,0.2430039271759187,4.105163710136301,Low
2025-01-05,Arunachal Pradesh,Siang,0.0,0.0,164.0,164.0,,10.830980075457909,,,
2025-09-12,West Bengal,Uttar Dinajpur,0.0,332.0,486.0,818.0,,13.971500068801108,0.5178881961582651,4.320922069679898,Low
2025-09-12,Karnataka,Haveri,0.0,241.0,337.0,578.0,,12.058090033578784,0.1543442410871583,3.6560130703454248,Low
2025-08-11,Madhya Pradesh,Khargone,100.0,167.0,315.0,482.0,482.0,12.01322646262182,0.1626505478918675,3.657522412712546,Low
2025-02-11,Chhattisgarh,Korba,77.0,113.0,910.0,1023.0,1328.571428571429,14.046855611797882,0.1896036866310673,4.296992306934893,Low
2025-12-11,Madhya Pradesh,Mandla,41.0,177.0,121.0,298.0,726.829268292683,10.89816743804565,0.0957816736989985,3.31283582498268,Low
2025-11-11,Tamil Nadu,The Nilgiris,14.0,63.0,148.0,211.0,1507.142857142857,14.628649628877405,0.1155625624860245,4.457796400610897,Low
2025-02-09,Karnataka,Shimoga,33.0,137.0,145.0,282.0,854.5454545454545,17.28555779052737,0.1656387556709392,5.249933168542659,Low
2025-12-11,Bihar,Monghyr,0.0,3.0,1.0,4.0,,20.003736641506613,0.0632129082427745,6.016924219512678,Low
2025-03-09,Orissa,Rayagada,0.0,9.0,7.0,16.0,,17.864630927353158,0.2492843288140687,5.421710360409465,Low
2025-01-07,Tamil Nadu,Theni,0.0,0.0,10300.0,10300.0,,13.36118931574639,,,
2025-03-11,Madhya Pradesh,Betul,47.0,373.0,1157.0,1530.0,3255.31914893617,13.604463410942676,0.2339473084436242,4.2268944057841065,Low
2025-04-09,Gujarat,Bhavnagar,107.0,459.0,460.0,919.0,858.8785046728972,13.803800311901403,0.3003354462414664,4.239195991738065,Low
2025-08-11,Uttarakhand,Nainital,44.0,199.0,248.0,447.0,1015.9090909090908,14.518389695224792,0.8894637202475366,4.605054901615016,Low
2025-03-12,Uttar Pradesh,Shamli,0.0,554.0,656.0,1210.0,,11.36015728052848,0.6834238933137076,3.5789031574869705,Low
2025-05-12,Sikkim,South Sikkim,0.0,11.0,10.0,21.0,,17.686707373722694,0.1501012192688471,5.34353751693402,Low
2025-05-09,Manipur,Churachandpur,28.0,64.0,39.0,103.0,367.8571428571428,15.620459331527751,0.4495358244579057,4.808360664924924,Low
2025-04-12,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,0.0,7.0,3.0,10.0,,20.12492541485703,0.2853992049545348,6.108827425695742,Low
2025-01-05,Tripura,South Tripura,0.0,0.0,5739.0,5739.0,,12.545398987017238,,,
2025-03-12,Daman and Diu,Diu,0.0,0.0,21.0,21.0,,12.706702753224484,,,
2025-10-12,Telangana,Jangoan,0.0,59.0,33.0,92.0,,16.89333960910971,0.1913644908128504,5.115843005436125,Low
2025-03-09,Assam,South Salmara Mankachar,13.0,154.0,21.0,175.0,1346.1538461538462,16.052806499440923,0.2215602993663986,4.907236995417266,Low
2025-01-12,Telangana,Bhadradri Kothagudem,0.0,307.0,154.0,461.0,,15.558053099540382,0.3322638171650509,4.750481884153377,Low
2025-11-11,Uttar Pradesh,Shrawasti,41.0,254.0,326.0,580.0,1414.6341463414635,13.977170563577262,1.9220041133152124,4.711488779897474,Low
2025-08-12,Telangana,Medchal-malkajgiri,0.0,605.0,123.0,728.0,,13.411813414147058,0.2461618364079103,4.085084483346095,Low
2025-02-09,Chhattisgarh,Durg,75.0,512.0,582.0,1094.0,1458.6666666666663,14.07534237803188,0.3995416094599247,4.361502416263114,Low
2025-07-09,Tamil Nadu,Sivaganga,2.0,17.0,10.0,27.0,1350.0,19.01611527425253,0.0856397415131122,5.762352359742408,Low
2025-04-12,Mizoram,Lawngtlai,0.0,19.0,53.0,72.0,,17.03587390184851,0.3135308449521363,5.189144881792587,Low
2025-03-12,Karnataka,Haveri *,0.0,13.0,9.0,22.0,,18.12355238314383,0.0791311186980834,5.45684849461767,Low
2025-08-12,Punjab,Muktsar,0.0,43.0,63.0,106.0,,19.058183256822407,0.0840793822872219,5.738474822618527,Low
2025-10-12,Odisha,Nabarangapur,0.0,198.0,307.0,505.0,,11.490485498830658,0.4151643003611149,3.550936724739476,Low
2025-05-12,Arunachal Pradesh,Kra Daadi,0.0,0.0,5.0,5.0,,20.21617031376404,,,
2025-01-09,Odisha,Khordha,3.0,52.0,98.0,150.0,5000.0,18.268055408597355,0.1032150383898121,5.639953130652106,Low
2025-02-11,Assam,Sonitpur,129.0,129.0,160.0,289.0,224.031007751938,14.7235082625221,0.1299028465791574,4.455520246883498,Low
2025-01-05,Gujarat,Jamnagar,554.0,2113.0,14268.0,16381.0,2956.859205776173,12.25250481494094,7.731067872918393,5.687604194400556,Low
2025-10-12,Tamil Nadu,Madurai,0.0,590.0,1274.0,1864.0,,12.758994888107578,0.1989416575179868,3.8774338808117697,Low
2025-10-12,Karnataka,Yadgir,0.0,148.0,241.0,389.0,,11.796464661244952,0.1908070019650309,3.5866411488647434,Low
2025-07-12,Bihar,Katihar,0.0,614.0,744.0,1358.0,,11.684749691056853,0.1664677565132074,3.547041846445357,Low
2025-06-09,Orissa,Rayagada,3.0,7.0,6.0,13.0,433.3333333333333,15.412716039668148,0.0834767553499101,4.65627417227246,Low
2025-08-12,Rajasthan,Hanumangarh,0.0,476.0,546.0,1022.0,,12.008110897801226,0.225477754828659,3.658802708047532,Low
2025-04-12,Uttar Pradesh,Sant Ravidas Nagar,0.0,396.0,431.0,827.0,,12.161173849228716,0.2301253471481313,3.7058834915556473,Low
2025-01-11,Jammu and Kashmir,Pulwama,9.0,106.0,435.0,541.0,6011.111111111111,17.05882111983296,0.2730602019559293,5.346687868494907,Low
2025-11-09,Telangana,Nalgonda,138.0,534.0,722.0,1256.0,910.144927536232,13.624995121638356,0.4042935264090415,4.212915154627848,Low
2025-01-07,Madhya Pradesh,Hoshangabad,281.0,0.0,14044.0,14044.0,4997.864768683274,14.054990929463983,,,
2025-10-12,Karnataka,Haveri *,0.0,10.0,13.0,23.0,,18.86008307633224,0.1077229741017397,5.684955666425107,Low
2025-04-11,Uttar Pradesh,Shahjahanpur,5.0,907.0,121.0,1028.0,20560.0,13.745286953215087,0.4017910469926722,4.77394290944373,Low
2025-12-11,Maharashtra,Yavatmal,35.0,7970.0,3564.0,11534.0,32954.28571428572,15.290326292263018,1.4304684886009638,5.826128450352462,Low
2025-06-09,Jharkhand,West Singhbhum,108.0,14.0,416.0,430.0,398.14814814814815,13.781441000632812,0.3208980018966731,4.225305889894464,Low
2025-07-09,Haryana,Sirsa,1.0,19.0,28.0,47.0,4700.0,15.7988019850654,0.2330579328608591,4.923613862301755,Low
2025-05-11,Orissa,Dhenkanal,0.0,4.0,1.0,5.0,,20.153282824779392,0.0223721960175366,6.051577896438201,Low
2025-08-09,Madhya Pradesh,Chhindwara,140.0,484.0,745.0,1229.0,877.8571428571429,12.43306626497624,0.7518394836365065,3.9413594000986167,Low
2025-09-12,Manipur,Jiribam,0.0,11.0,6.0,17.0,,20.11214116583448,0.1870774129764156,6.080411702994447,Low
2025-07-11,Puducherry,Karaikal,7.0,59.0,91.0,150.0,2142.8571428571427,11.51274967329701,0.3998490588664347,3.611101201766617,Low
2025-03-09,West Bengal,Uttar Dinajpur,570.0,772.0,735.0,1507.0,264.3859649122807,14.33469888320074,2.9246710916952847,5.038648850233254,Low
2025-12-11,Karnataka,Chitradurga,18.0,284.0,379.0,663.0,3683.3333333333335,13.043756114952677,0.1914782774591292,4.059512861894164,Low
2025-08-11,Bihar,Bhojpur,156.0,870.0,158.0,1028.0,658.9743589743589,12.652687795757164,0.3494118683141336,3.90078459624578,Low
2025-01-07,Andhra Pradesh,Nellore,0.0,0.0,15177.0,15177.0,,11.239338622009656,,,
2025-12-11,Orissa,Balangir,2.0,32.0,80.0,112.0,5600.0,16.291700844484478,0.090784252600917,5.059986994788072,Low
2025-07-11,Telangana,Medchal−malkajgiri,6.0,5.0,54.0,59.0,983.3333333333334,15.09223105236195,0.1388690344312403,4.5886873481832335,Low
2025-03-11,Bihar,Nawada,85.0,882.0,421.0,1303.0,1532.9411764705883,12.682695593681911,0.3497318358052381,3.933242524412002,Low
2025-07-11,West Bengal,Jalpaiguri,80.0,1785.0,300.0,2085.0,2606.25,15.336806199880314,0.3930785124156412,4.769019683210831,Low
2025-07-12,Madhya Pradesh,Katni,0.0,190.0,876.0,1066.0,,14.38841873590133,0.2314218107957079,4.374381073469326,Low
2025-03-09,Odisha,Sundergarh,90.0,266.0,443.0,709.0,787.7777777777778,13.644692416572168,0.234103326742384,4.173003894139266,Low
2025-08-12,Telangana,Vikarabad,0.0,247.0,39.0,286.0,,16.12248656149796,0.2293094637863943,4.894073334395986,Low
2025-06-09,Punjab,Bathinda,40.0,220.0,281.0,501.0,1252.5,13.563131753762946,0.987956182501313,4.349428625247312,Low
2025-03-11,Odisha,Dhenkanal,17.0,256.0,470.0,726.0,4270.588235294117,11.5439811759939,0.127055174031022,3.609181646768484,Low
2025-10-09,Uttarakhand,Champawat,31.0,34.0,197.0,231.0,745.1612903225806,14.673190063429566,0.1461435994637629,4.45842341237728,Low
2025-04-11,Bihar,Katihar,7.0,2172.0,572.0,2744.0,39200.0,14.108822705437484,1.031167271031347,5.538903377436583,Low
2025-11-11,Bihar,Bhagalpur,110.0,467.0,782.0,1249.0,1135.4545454545455,12.570653814774198,0.2424110056777084,3.862168387278201,Low
2025-11-09,Sikkim,North Sikkim,1.0,10.0,4.0,14.0,1400.0,15.678234574301577,0.0880203749188865,4.76292063559332,Low
2025-09-03,Maharashtra,Aurangabad,100.0,0.0,0.0,0.0,0.0,,,,
2025-06-09,Arunachal Pradesh,Siang,0.0,4.0,3.0,7.0,,20.09309674488444,0.0642151352629141,6.04398280728106,Low
2025-01-09,Odisha,Mayurbhanj,311.0,789.0,1021.0,1810.0,581.9935691318328,11.885084869532236,0.1601426486960276,3.6211274429526847,Low
2025-02-12,Andhra Pradesh,K.V.Rangareddy,0.0,8.0,8.0,16.0,,20.039685859530916,0.0427204671665051,6.0225858746509,Low
2025-07-09,Uttar Pradesh,Sitapur,105.0,478.0,55.0,533.0,507.6190476190476,17.778025195544757,0.6275279814336803,5.503866612105163,Low
2025-01-09,West Bengal,Malda,193.0,2750.0,750.0,3500.0,1813.4715025906737,14.328174215888112,0.6708855518604361,4.514677758396212,Low
2025-12-11,Gujarat,Ahmadabad,15.0,95.0,165.0,260.0,1733.3333333333333,19.85393606153573,0.1742643351500501,6.046107588386386,Low
2025-12-12,Arunachal Pradesh,Kurung Kumey,0.0,0.0,2.0,2.0,,20.48537147081408,,,
2025-05-11,Kerala,Kannur,191.0,661.0,706.0,1367.0,715.7068062827225,14.553056967220472,0.184074907030241,4.431078504585056,Low
2025-02-11,Gujarat,Junagadh,129.0,63.0,192.0,255.0,197.67441860465115,15.615921686699268,0.0918132390535137,4.713016924433816,Low
2025-01-04,Daman & Diu,Diu,0.0,0.0,20.0,20.0,,10.074732830132278,,,
2025-08-09,West Bengal,South 24 Pargana,0.0,1.0,0.0,1.0,,,0.0035414945106835,,
2025-05-12,Odisha,Khorda,0.0,195.0,597.0,792.0,,14.51132552246746,0.1956224007796291,4.402303256935146,Low
2025-01-06,West Bengal,Purulia,0.0,0.0,408.0,408.0,,12.141937372932317,,,
2025-06-11,Jammu and Kashmir,Baramula,27.0,262.0,217.0,479.0,1774.074074074074,12.12712649425588,0.3734223749199846,3.778943902391752,Low
2025-08-12,Chhattisgarh,Jashpur,0.0,709.0,526.0,1235.0,,12.37938352133752,1.6422934637927782,4.124388422349451,Low
2025-09-12,Madhya Pradesh,Seoni,0.0,131.0,410.0,541.0,,10.912173918866037,0.1012640196624748,3.298968180575429,Low
2025-05-09,Telangana,Mahabubnagar,40.0,173.0,199.0,372.0,930.0,16.3524658804921,0.1871110537473625,4.977391818800903,Low
2025-01-06,Andhra Pradesh,Palnadu,0.0,2983.0,2105.0,5088.0,,11.971305761962125,2.237020483118445,4.150646849368249,Low
2025-10-11,Chhattisgarh,Raipur,127.0,581.0,1303.0,1884.0,1483.464566929134,13.21781145215887,0.4959556217046511,4.129009899834099,Low
2025-01-12,Uttar Pradesh,Sant Kabir Nagar,0.0,578.0,908.0,1486.0,,12.122268387839128,0.3519490955586219,3.724667790241394,Low
2025-04-09,Tamil Nadu,Mayiladuthurai,13.0,28.0,11.0,39.0,300.0,20.036282586289826,0.0899529756678466,6.041396984712436,Low
2025-01-05,Bihar,Buxar,0.0,0.0,6252.0,6252.0,,11.264849141121315,,,
2025-05-12,Haryana,Gurgaon,0.0,516.0,301.0,817.0,,13.491858303686096,0.4941872465578253,4.171104302745285,Low
2025-05-09,Karnataka,Belagavi,30.0,113.0,93.0,206.0,686.6666666666666,18.062655625603927,0.0946908763227252,5.460835370885821,Low
2025-12-12,Delhi,New Delhi,0.0,28.0,22.0,50.0,,15.42434700573306,0.39485857617777,4.726018745764361,Low
2025-07-09,Assam,South Salmara Mankachar,0.0,17.0,0.0,17.0,,,0.1045503205993996,,
2025-07-12,Tamil Nadu,Kancheepuram,0.0,658.0,468.0,1126.0,,14.691317509905211,0.243620897424976,4.468300477327807,Low
2025-05-09,Uttar Pradesh,Shahjahanpur,71.0,791.0,77.0,868.0,1222.5352112676055,15.906416224163218,0.515980910752494,4.933618693719255,Low
2025-07-12,Nagaland,Kohima,0.0,9.0,24.0,33.0,,16.970885511186527,0.1457632865904155,5.127706475003562,Low
2025-12-09,Maharashtra,Palghar,170.0,751.0,1359.0,2110.0,1241.1764705882354,14.33135413533382,0.3685829542142225,4.424749167304665,Low
2025-02-11,Jharkhand,Gumla,164.0,69.0,660.0,729.0,444.5121951219512,13.406933146007422,0.0832114372165601,4.0547719706232686,Low
2025-07-09,West Bengal,Bankura,73.0,545.0,136.0,681.0,932.8767123287672,16.0711134034605,0.2655179044267809,4.912664730490538,Low
2025-03-12,Chhattisgarh,Bilaspur,0.0,767.0,1156.0,1923.0,,11.43051224653528,0.7405141186365858,3.61428220361973,Low
2025-01-07,Odisha,Dhenkanal,0.0,0.0,10303.0,10303.0,,12.31663570237619,,,
2025-06-12,Jammu and Kashmir,Ganderbal,0.0,33.0,93.0,126.0,,11.80288461339049,0.272586990596505,3.609012131666273,Low
2025-03-11,Meghalaya,North Garo Hills,5.0,33.0,11.0,44.0,880.0000000000001,19.05367264674803,0.119755530118497,5.769577640285712,Low
2025-04-11,Bihar,Nalanda,1.0,860.0,143.0,1003.0,100300.0,15.775351099811411,0.3613840837315777,7.505630285293778,Low
2025-04-11,Sikkim,East Sikkim,0.0,27.0,8.0,35.0,,15.138403447315966,0.089163316767334,4.563811863386623,Low
2025-04-12,Maharashtra,Mumbai( Sub Urban ),0.0,43.0,67.0,110.0,,18.85934129928428,0.0782346250347371,5.677361046043968,Low
2025-03-09,Madhya Pradesh,Guna,165.0,178.0,351.0,529.0,320.6060606060606,14.078381576371218,0.9574347892367192,4.471448276153091,Low
2025-04-12,Chhattisgarh,Mungeli,0.0,561.0,583.0,1144.0,,14.237167730095877,4.614236132028923,5.424709352035993,Low
2025-01-04,Uttar Pradesh,Prayagraj,0.0,0.0,2802.0,2802.0,,10.88908320273353,,,
2025-03-11,Uttar Pradesh,Faizabad,40.0,289.0,535.0,824.0,2060.0,11.940726987797651,0.1263401135972576,3.668901017110493,Low
2025-11-11,Odisha,Jagatsinghpur,8.0,40.0,63.0,103.0,1287.5,17.629230731291038,0.109368855136448,5.350547615903851,Low
2025-02-12,Tamil Nadu,Pudukkottai,0.0,880.0,1147.0,2027.0,,13.1260514679371,0.2936194508648588,4.011220303097344,Low
2025-06-09,Gujarat,Arvalli,6.0,23.0,51.0,74.0,1233.3333333333337,14.876568512161574,0.0977196599876148,4.520387879935986,Low
2025-06-11,Tamil Nadu,The Nilgiris,23.0,150.0,172.0,322.0,1400.0,16.13844264097342,0.2008053121243802,4.929179289896246,Low
2025-06-12,Uttarakhand,Tehri Garhwal,0.0,132.0,132.0,264.0,,13.07974516687545,0.1528036797765217,3.962124470006765,Low
2025-08-11,Rajasthan,Nagaur,148.0,306.0,697.0,1003.0,677.7027027027027,11.498364154314528,0.2172534000542178,3.521948805324247,Low
2025-12-12,Andhra Pradesh,Nandyal,0.0,127.0,56.0,183.0,,18.10298568943919,0.183235175433594,5.476704500690156,Low
2025-12-11,Telangana,Hyderabad,178.0,568.0,1998.0,2566.0,1441.573033707865,13.046668958584675,0.2840247358041943,4.02356397631162,Low
2025-03-12,Bihar,Purnea,0.0,23.0,18.0,41.0,,18.857317603970536,0.1552903177801619,5.696017860636201,Low
2025-10-12,Uttar Pradesh,Mirzapur,0.0,310.0,553.0,863.0,,12.595342625936835,1.7535103370439606,4.216980372042041,Low
2025-04-09,Madhya Pradesh,Bhopal,201.0,236.0,887.0,1123.0,558.7064676616915,13.739211478777314,0.5721672988653548,4.279748738651814,Low
2025-01-06,Jammu and Kashmir,Pulwama,0.0,1339.0,2216.0,3555.0,,12.380533784842816,2.78267209141547,4.409828158306712,Low
2025-01-03,Gujarat,Rajkot,0.0,19157.0,19813.0,38970.0,,12.893136835220416,2.949503044670615,4.605316811733778,Low
2025-11-09,Odisha,Dhenkanal,64.0,293.0,472.0,765.0,1195.3125,11.930714219349593,0.3113184672051062,3.6890143677885656,Low
2025-02-11,Chhattisgarh,Janjgir-champa,106.0,173.0,1468.0,1641.0,1548.1132075471698,11.769432456441528,0.5467832441701341,3.708932234814277,Low
2025-01-12,Tripura,Gomati,0.0,69.0,119.0,188.0,,14.90562926206037,0.0946292258320704,4.495346085076128,Low
2025-01-05,Andhra Pradesh,Parvathipuram Manyam,0.0,350.0,1800.0,2150.0,,10.881488927527052,0.6763029321089925,3.433522411285364,Low
2025-01-11,Tripura,Gomati,6.0,58.0,63.0,121.0,2016.6666666666667,14.845195761353,0.1200699827458144,4.537515099310784,Low
2025-02-12,Uttar Pradesh,Shahjahanpur,0.0,1191.0,1174.0,2365.0,,12.9145734818233,0.9712927175238502,4.117195223927952,Low
2025-01-11,West Bengal,Puruliya,19.0,2107.0,581.0,2688.0,14147.368421052632,14.040787203823871,1.5630485630308408,4.981391594433293,Low
2025-01-03,Uttar Pradesh,Sitapur,0.0,37991.0,36875.0,74866.0,,18.18399843133182,6.461252513863312,7.070512657865374,Low
2025-03-12,Madhya Pradesh,Dewas,0.0,249.0,718.0,967.0,,13.30943831086019,0.2946163443646762,4.066485579349226,Low
2025-02-11,Tamil Nadu,Tenkasi,43.0,57.0,133.0,190.0,441.86046511627904,18.59746022053268,0.0835720459125793,5.6119493205264765,Low
2025-05-11,Uttar Pradesh,Jalaun,88.0,199.0,293.0,492.0,559.0909090909091,13.45669159840602,0.494457629421243,4.175575639661189,Low
2025-09-09,Andhra Pradesh,Anantapur,72.0,270.0,335.0,605.0,840.2777777777778,16.817935937480975,0.0904712520188908,5.090473125590028,Low
2025-10-12,Punjab,Kapurthala,0.0,57.0,308.0,365.0,,12.496108172295822,0.1208478868996235,3.779044423413652,Low
2025-07-09,Maharashtra,Chhatrapati Sambhajinagar,1.0,25.0,2.0,27.0,2700.0,20.07764859396412,0.0939510774405469,6.118998031726114,Low
2025-07-09,West Bengal,North Twenty Four Parganas,23.0,61.0,24.0,85.0,369.5652173913044,18.63709238798897,0.0984258191334412,5.625618765632585,Low
2025-01-04,Odisha,Nayagarh,0.0,0.0,7288.0,7288.0,,11.545286786636808,,,
2025-10-09,Punjab,Bathinda,56.0,395.0,372.0,767.0,1369.642857142857,14.13933278236124,0.5775378413437896,4.422817515787416,Low
2025-06-09,Nagaland,Peren,7.0,13.0,14.0,27.0,385.7142857142857,13.581590119836,0.2003067539394754,4.134870250746632,Low
2025-07-11,Madhya Pradesh,Rajgarh,69.0,235.0,228.0,463.0,671.0144927536231,11.683999976642076,0.1788959890493414,3.567871312731518,Low
2025-05-11,Chhattisgarh,Gariyaband,26.0,47.0,265.0,312.0,1200.0,17.099992325265934,0.1459212848877129,5.198573878435815,Low
2025-10-09,Chhattisgarh,Mahasamund,75.0,451.0,351.0,802.0,1069.3333333333333,12.61194681447044,0.3629503663748912,3.90292261307547,Low
2025-12-09,Punjab,Kapurthala,24.0,230.0,231.0,461.0,1920.8333333333333,15.44665943802191,0.2614810833174711,4.750743766441924,Low
2025-09-09,WEST BENGAL,HOOGHLY,0.0,1.0,0.0,1.0,,,0.0035414945106835,,
2025-08-12,Assam,Sribhumi,0.0,139.0,6.0,145.0,,20.06959013017994,0.2030651418457607,6.071643324515422,Low
2025-01-05,Arunachal Pradesh,Namsai,0.0,0.0,836.0,836.0,,11.13174431700378,,,
2025-05-12,Telangana,Mahabubnagar,0.0,609.0,866.0,1475.0,,12.225375225415192,0.2414608158839322,3.727977771595541,Low
2025-07-09,Tamil Nadu,Tiruchirappalli,10.0,76.0,55.0,131.0,1310.0,17.08836284962838,0.0750682563080743,5.180313899066099,Low
2025-10-09,Gujarat,Surat,357.0,1821.0,1286.0,3107.0,870.3081232492997,14.05702602486868,0.577057415321458,4.384649900759496,Low
2025-06-09,Goa,South Goa,7.0,85.0,59.0,144.0,2057.1428571428573,16.268351449437755,0.1743165076253839,4.979106035396143,Low
2025-09-09,Nagaland,Phek,7.0,29.0,55.0,84.0,1200.0,15.813822410399233,0.241952411372981,4.8367306855971215,Low
2025-02-12,Orissa,Jharsuguda,0.0,2.0,1.0,3.0,,20.003736641506613,0.0035414945106835,6.002006366079655,Low
2025-03-09,Andhra Pradesh,Sri Sathya Sai,10.0,124.0,32.0,156.0,1560.0,18.48294820860469,0.1603535375711308,5.626697464498529,Low
2025-04-09,Uttar Pradesh,Mirzapur,192.0,715.0,506.0,1221.0,635.9375,14.446578509944125,1.262935565255398,4.666716578243807,Low
2025-01-12,Uttar Pradesh,Kheri,0.0,1631.0,1994.0,3625.0,,13.175673737445257,0.3225929986113943,4.033350370886425,Low
2025-01-07,Tamil Nadu,Kallakurichi,0.0,0.0,411.0,411.0,,11.212559341326385,,,
2025-05-11,Tamil Nadu,The Nilgiris,27.0,106.0,258.0,364.0,1348.148148148148,14.640272628302778,0.1435220590127836,4.464020614684817,Low
2025-05-12,Daman and Diu,Daman,0.0,0.0,19.0,19.0,,15.463759499207343,,,
2025-10-12,Madhya Pradesh,Niwari,0.0,22.0,6.0,28.0,,13.95346318569892,0.0632411554565641,4.2018492445738165,Low
